id,race_id,startracetime,endracetime,startraceprog,endraceprog,startlap,endlap,type
1,1,1069.0,1604.0,11.107,14.922,12,15,SC
2,3,4157.0,4899.0,41.01,45.965,42,46,SC
3,6,59.0,332.0,0.583,2.897,1,3,SC
4,6,2157.0,2710.0,25.289,29.916,26,30,SC
5,7,38.0,829.0,0.372,6.864,1,7,SC
6,7,5892.0,Inf,69.379,70.0,70,70,SC
7,9,44.0,3820.0,0.326,1.996,1,2,SC
8,10,17.0,227.0,0.15,1.948,1,2,SC
9,11,836.0,1521.0,7.995,12.905,8,13,SC
10,11,2387.0,2853.0,22.213,25.897,23,26,SC
11,14,3514.0,4581.0,30.44,36.96,31,37,SC
12,15,0.0,2646.0,0.0,8.945,1,9,SC
13,15,6596.0,Inf,43.241,44.0,44,44,SC
14,17,99.0,568.0,0.924,3.926,1,4,SC
15,20,34.0,412.0,0.238,2.919,1,3,SC
16,21,368.0,751.0,3.331,5.935,4,6,SC
17,22,5565.0,Inf,53.21,56.0,54,56,SC
18,25,5128.0,5160.0,63.547,63.891,64,64,VSC
19,25,5160.0,5912.0,63.891,69.901,64,70,SC
20,27,53.0,684.0,0.57,5.877,1,6,SC
21,28,85.0,400.0,0.745,2.884,1,3,SC
22,28,3398.0,3615.0,33.035,34.753,34,35,VSC
23,29,3739.0,3868.0,42.146,43.27,43,44,VSC
24,29,3868.0,4526.0,43.27,47.923,44,48,SC
25,30,2391.0,2531.0,20.39,21.434,21,22,VSC
26,32,1428.0,1763.0,12.606,14.78,13,15,VSC
27,32,1763.0,2290.0,14.78,17.951,15,18,SC
28,32,4389.0,4949.0,36.607,39.958,37,40,SC
29,34,32.0,442.0,0.233,2.937,1,3,SC
30,34,1346.0,2032.0,11.609,15.947,12,16,SC
31,35,580.0,900.0,4.867,7.228,5,8,VSC
32,35,3138.0,3932.0,26.819,31.945,27,32,SC
33,35,4481.0,4718.0,37.168,38.899,38,39,VSC
34,35,5079.0,5626.0,42.3,45.947,43,46,SC
35,36,4353.0,5011.0,51.675,56.949,52,57,SC
36,39,1586.0,3001.0,16.85,18.988,17,19,SC
37,41,393.0,1002.0,3.762,7.945,4,8,SC
38,42,44.0,96.0,0.349,0.762,1,1,VSC
39,42,96.0,460.0,0.762,2.925,1,3,SC
40,43,38.0,368.0,0.334,2.951,1,3,SC
41,44,0.0,909.0,0.0,6.878,1,7,SC
42,44,973.0,1199.0,7.429,9.433,8,10,VSC
43,44,3624.0,3783.0,34.718,36.159,35,37,VSC
